Index,PctInt*100,NGI Set Intensity,x,y,Lumens
417,1830,0.183,0.1279,0.0595,0.8299
418,1840,0.184,0.1279,0.0596,0.83374
419,1850,0.185,0.128,0.0594,0.83809
420,1860,0.186,0.1279,0.0594,0.8415
421,1870,0.187,0.128,0.0595,0.84376
422,1880,0.188,0.128,0.0594,0.84749
423,1890,0.189,0.128,0.0594,0.85096
424,1900,0.19,0.128,0.0594,0.84145
425,1910,0.191,0.128,0.0594,0.84593
426,1920,0.192,0.128,0.0595,0.84848
427,1930,0.193,0.128,0.0595,0.85096
428,1940,0.194,0.128,0.0594,0.8549
429,1950,0.195,0.128,0.0592,0.85929
430,1960,0.196,0.128,0.0594,0.86105
431,1970,0.197,0.128,0.0593,0.86464
432,1980,0.198,0.128,0.0593,0.8681
433,1990,0.199,0.1281,0.0592,0.87177
434,2000,0.2,0.1281,0.0592,0.8745
435,2010,0.201,0.1281,0.0592,0.87768
436,2020,0.202,0.1281,0.0592,0.88107
437,2030,0.203,0.1281,0.0593,0.88349
438,2040,0.204,0.1281,0.0593,0.88655
439,2050,0.205,0.1281,0.0591,0.89062
440,2060,0.206,0.1282,0.0594,0.89041
441,2070,0.207,0.1281,0.0591,0.89728
442,2080,0.208,0.1282,0.0593,0.89755
443,2090,0.209,0.1282,0.059,0.90304
444,2100,0.21,0.1282,0.0591,0.90542
445,2110,0.211,0.1282,0.0593,0.90655
446,2120,0.212,0.1282,0.059,0.9134
447,2130,0.213,0.1284,0.059,0.91703
448,2140,0.214,0.1283,0.0591,0.91848
449,2150,0.215,0.1283,0.0591,0.92104
450,2160,0.216,0.1283,0.0589,0.92603
451,2170,0.217,0.1283,0.0589,0.92821
452,2180,0.218,0.1283,0.0593,0.92875
453,2190,0.219,0.1283,0.0589,0.93431
454,2200,0.22,0.1283,0.0589,0.93799
455,2210,0.221,0.1283,0.0588,0.94144
456,2220,0.222,0.1283,0.0587,0.94528
457,2230,0.223,0.1283,0.0589,0.94669
458,2240,0.224,0.1284,0.059,0.94803
459,2250,0.225,0.1283,0.0588,0.95232
460,2260,0.226,0.1284,0.0587,0.95705
461,2270,0.227,0.1284,0.0589,0.95813
462,2280,0.228,0.1284,0.0588,0.96212
463,2290,0.229,0.1284,0.0587,0.96428
464,2300,0.23,0.1284,0.0586,0.96862
465,2310,0.231,0.1284,0.0588,0.96963
466,2320,0.232,0.1284,0.0586,0.9748
467,2330,0.233,0.1284,0.0586,0.97634
468,2340,0.234,0.1284,0.0586,0.97961
469,2350,0.235,0.1285,0.0586,0.98285
470,2360,0.236,0.1285,0.0586,0.98566
471,2370,0.237,0.1285,0.0586,0.98893
472,2380,0.238,0.1286,0.0588,0.99058
473,2390,0.239,0.1285,0.0587,0.99468
474,2400,0.24,0.1285,0.0585,0.99876
475,2410,0.241,0.1285,0.0585,1.0014
476,2420,0.242,0.1285,0.0585,1.0043
477,2430,0.243,0.1286,0.0588,1.0046
478,2440,0.244,0.1285,0.0586,1.009
479,2450,0.245,0.1286,0.0586,1.0113
480,2460,0.246,0.1286,0.0585,1.0156
481,2470,0.247,0.1286,0.0586,1.0174
482,2480,0.248,0.1286,0.0586,1.0201
483,2490,0.249,0.1287,0.0583,1.0247
484,2500,0.25,0.1286,0.0585,1.0267
485,2510,0.251,0.1286,0.0584,1.0302
486,2520,0.252,0.1286,0.0584,1.0332
487,2530,0.253,0.1286,0.0584,1.0357
488,2540,0.254,0.1287,0.0586,1.0373
489,2550,0.255,0.1287,0.0586,1.0389
490,2560,0.256,0.1287,0.0583,1.0446
491,2570,0.257,0.1287,0.0583,1.0476
492,2580,0.258,0.1287,0.0585,1.048
493,2590,0.259,0.1287,0.0584,1.0522
494,2600,0.26,0.1287,0.0582,1.056
495,2610,0.261,0.1288,0.0585,1.0562
496,2620,0.262,0.1288,0.0582,1.0613
497,2630,0.263,0.1287,0.0584,1.0632
498,2640,0.264,0.1288,0.0585,1.0648
499,2650,0.265,0.1287,0.0582,1.0712
500,2660,0.266,0.1287,0.0582,1.074
501,2670,0.267,0.1289,0.0583,1.0765
502,2680,0.268,0.1288,0.0582,1.079
503,2690,0.269,0.1288,0.0582,1.0823
504,2700,0.27,0.1288,0.0583,1.0839
505,2710,0.271,0.1288,0.0583,1.0865
506,2720,0.272,0.1287,0.0582,1.0912
507,2730,0.273,0.1288,0.0583,1.0922
508,2740,0.274,0.1288,0.0581,1.0963
509,2750,0.275,0.1288,0.058,1.1004
510,2760,0.276,0.1288,0.0582,1.1015
511,2770,0.277,0.1288,0.0582,1.1037
512,2780,0.278,0.1288,0.0581,1.1072
513,2790,0.279,0.1288,0.0582,1.1086
514,2800,0.28,0.1289,0.0581,1.1107
515,2810,0.281,0.1289,0.0581,1.1146
516,2820,0.282,0.1289,0.0581,1.1177
517,2830,0.283,0.1289,0.0581,1.1195
518,2840,0.284,0.1289,0.0579,1.1243
519,2850,0.285,0.1289,0.0581,1.1253
520,2860,0.286,0.1289,0.0579,1.129
521,2870,0.287,0.1289,0.058,1.1312
